"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"518","RT @ets_conference: @CleanTX @UMNews University of Minnesota Professor Massoud Amin to be keynote speaker #ETS15 http://t.co/8WGsYhpJG0",FALSE,0,NA,2015-03-24 14:33:41,FALSE,NA,"580376947332673536",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Siemens_SG",0,FALSE,FALSE,NA,NA
"519","@ETS_Conference kicks off today! Glen Davis, CEO of RES A talks about The State &amp; Future of #Renewables 3/25. Info: http://t.co/LjHKYfUw8d",FALSE,0,"ets_conference",2015-03-24 14:29:37,FALSE,NA,"580375923402379265","2181263006","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RES_Americas",0,FALSE,FALSE,NA,NA
"520","RT @Siemens_SG: Find out, ""What's next for the grid &amp; #utilities."" Coverage of our CTO Larsh Johnson @ets_conference on 3/25! #ets15 #smart…",FALSE,0,NA,2015-03-24 14:09:56,FALSE,NA,"580370967727226880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MahroofJilani",6,TRUE,FALSE,NA,NA
"521","I'm going to ""ETS15"".  See you there?",FALSE,0,NA,2015-03-24 13:37:51,FALSE,NA,"580362893960458240",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","smartenergystr",0,FALSE,FALSE,NA,NA
"522","RT @ClearBlade: This week! @ClearBlade CEO @esimone928  @ets_conference March 25-26 | http://t.co/AUzF18hEpc  | #MBaaS #IoT #smartgrid #Paa…",FALSE,0,NA,2015-03-24 13:20:07,FALSE,NA,"580358433376837632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bazaarbrett",3,TRUE,FALSE,NA,NA
"523","Looking forward to attending ""Universities and community colleges: Opportunities, Challenges, Lessons learned "" https://t.co/441sj2qLYz",FALSE,0,NA,2015-03-24 12:32:47,FALSE,NA,"580346520291053568",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JarmonCody",0,FALSE,FALSE,NA,NA
"524","RT @ets_conference: @CleanTX @UMNews University of Minnesota Professor Massoud Amin to be keynote speaker ETS15 http://t.co/zeEvTvT0jN
@zpr…",FALSE,0,NA,2015-03-24 04:29:52,FALSE,NA,"580224991565881344",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jasonsrodriguez",3,TRUE,FALSE,NA,NA
"525","RT @ets_conference: @cpsenergy Make sure you don't miss keynote speaker @Doyle_Beneby at ETS15 tommorow! @zpryme_research 
#ETS15",FALSE,0,NA,2015-03-24 02:58:50,FALSE,NA,"580202082847739904",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","PaulFlaningan",0,FALSE,FALSE,NA,NA
"526","@CleanTX @UMNews University of Minnesota Professor Massoud Amin to be keynote speaker ETS15 http://t.co/zeEvTvT0jN
@zpryme_research 
#ETS15",FALSE,0,"CleanTX",2015-03-24 01:02:01,FALSE,NA,"580172684908044289","442054338","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ets_conference",3,FALSE,FALSE,NA,NA
"527","RT @Siemens_SG: Find out, ""What's next for the grid &amp; #utilities."" Coverage of our CTO Larsh Johnson @ets_conference on 3/25! #ets15 #smart…",FALSE,0,NA,2015-03-24 00:47:16,FALSE,NA,"580168970130452480",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RecruiterHouTX",6,TRUE,FALSE,NA,NA
