"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"11","RT @EKillingerNRG: I’m excited to be in Austin to speak @ETS_conference about evolving #customer markets with @PattyDurandSGCC and @yoavlur…",FALSE,0,NA,2015-03-26 16:30:09,FALSE,NA,"581131032847503360",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jasonsrodriguez",3,TRUE,FALSE,NA,NA
"12","RT @EDFtx: RT @Gridmates: We dream #Austin the energy innovation capital of the world! @ets_conference @andresecarvallo #ets15",FALSE,0,NA,2015-03-26 16:30:05,FALSE,NA,"581131016577789952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jasonsrodriguez",1,TRUE,FALSE,NA,NA
"13","RT @arnoldjon: Quick update and photos from @ets_conference here in #Austin - more coming! http://t.co/OoXJXeVg5H @zpryme_research #ETS15 @…",FALSE,0,NA,2015-03-26 16:29:52,FALSE,NA,"581130960068055040",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kels83",1,TRUE,FALSE,NA,NA
"14","EDFtx: RT Gridmates: We dream #Austin the energy innovation capital of the world! ets_conference andresecarvallo #ets15",FALSE,0,NA,2015-03-26 15:50:52,FALSE,NA,"581121147770703872",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","AustinpalStacy",0,FALSE,FALSE,NA,NA
"15","RT @Gridmates: We dream #Austin the energy innovation capital of the world! @ets_conference @andresecarvallo #ets15",FALSE,1,NA,2015-03-26 15:48:48,FALSE,NA,"581120625131028481",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","EDFtx",1,FALSE,FALSE,NA,NA
"16","RT @EKillingerNRG: I’m excited to be in Austin to speak @ETS_conference about evolving #customer markets with @PattyDurandSGCC and @yoavlur…",FALSE,0,NA,2015-03-26 15:47:33,FALSE,NA,"581120312827232256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","patkhammond",3,TRUE,FALSE,NA,NA
"17","RT @EKillingerNRG: I’m excited to be in Austin to speak @ETS_conference about evolving #customer markets with @PattyDurandSGCC and @yoavlur…",FALSE,0,NA,2015-03-26 15:45:23,FALSE,NA,"581119765239840768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yoavlurie",3,TRUE,FALSE,NA,NA
"18","I’m excited to be in Austin to speak @ETS_conference about evolving #customer markets with @PattyDurandSGCC and @yoavlurie #ETS15",FALSE,3,NA,2015-03-26 15:42:51,FALSE,NA,"581119129886662656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EKillingerNRG",3,FALSE,FALSE,NA,NA
"19","Quick update and photos from @ets_conference here in #Austin - more coming! http://t.co/OoXJXeVg5H @zpryme_research #ETS15 @jasonsrodriguez",FALSE,2,NA,2015-03-26 14:17:59,FALSE,NA,"581097769839898624",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","arnoldjon",1,FALSE,FALSE,NA,NA
"20","RT @austinenergy: Joining Don Clevenger of @oncor for Q&amp;A at the @ets_conference. Thx for putting on such a great event! #ETS15 http://t.co…",FALSE,0,NA,2015-03-26 14:08:05,FALSE,NA,"581095278658228224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jasonsrodriguez",2,TRUE,FALSE,NA,NA
"21","Looking forward for the Next-Generation Energy Systems forums today at #ETS15 @ets_conference",FALSE,0,NA,2015-03-26 14:07:35,FALSE,NA,"581095153441611779",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gjandres5k",0,FALSE,FALSE,NA,NA
"22","Attending @ets_conference in Austin today? Check out Brian Casey’s panel on next-generation energy systems http://t.co/zIQCaAYNOv #utilities",FALSE,0,NA,2015-03-26 14:03:14,FALSE,NA,"581094058912825344",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","MsKJHudson",0,FALSE,FALSE,NA,NA
"23","I started a live stream on @YouTube: http://t.co/vjE3KPL5sV",FALSE,0,NA,2015-03-26 13:24:43,FALSE,NA,"581084363749756928",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","ets_conference",0,FALSE,FALSE,NA,NA
"24","@SBMmedia #ETS15 | #Energy live streaming. Don't miss this great lineup: http://t.co/wc80DjJsqk @ets_conference  http://t.co/0sa7sFdGe1",FALSE,0,"SBMmedia",2015-03-26 12:53:36,FALSE,NA,"581076535433547776","2382427891","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","S_IPPP",0,FALSE,FALSE,NA,NA
"25","RT @zpryme_research: Catching @DirectEnergy #ETS15 @ets_conference Q&amp;A w/ Badar Khan CEO on live simulcast! Keynote was inspiring! http://t…",FALSE,0,NA,2015-03-26 04:21:18,FALSE,NA,"580947608937459713",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jasonsrodriguez",1,TRUE,FALSE,NA,NA
"26","RT @austinenergy: Joining Don Clevenger of @oncor for Q&amp;A at the @ets_conference. Thx for putting on such a great event! #ETS15 http://t.co…",FALSE,0,NA,2015-03-26 04:00:15,FALSE,NA,"580942313364459520",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RecruiterHouTX",2,TRUE,FALSE,NA,NA
"27","RT @greenfernevents: ""Why am I here? I'm here because we have an energy problem"" John B. Goodenough (Inventor of the Lithium Ion Battery) @…",FALSE,0,NA,2015-03-26 02:43:36,FALSE,NA,"580923025001881600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jasonsrodriguez",6,TRUE,FALSE,NA,NA
"28","RT @postfossilcom: @ets_conference #ETS15 - ETS highlights local Mobile Loaves and Fishes homeless project Community First! http://t.co/AHd…",FALSE,0,NA,2015-03-26 02:42:35,FALSE,NA,"580922766808858624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jasonsrodriguez",2,TRUE,FALSE,NA,NA
"29","RT @aasviewpoints: @DirectEnergy CEO Badar Khan: Value, variety are added to Texas energy menu for customers http://t.co/CDJDwM1JBu @ets_co…",FALSE,0,NA,2015-03-26 02:03:55,FALSE,NA,"580913035792891904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mikebbeck",4,TRUE,FALSE,NA,NA
"30","@SimpTek @ets_conference Hope you learn a lot and have fun at the same time.",FALSE,0,"SimpTek",2015-03-26 00:57:32,FALSE,"579766970565976064","580896332543586304","2372254860","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","gagnoncarolyn1",0,FALSE,FALSE,NA,NA
"31","Joining Don Clevenger of @oncor for Q&amp;A at the @ets_conference. Thx for putting on such a great event! #ETS15 http://t.co/STB71Xsfer",FALSE,0,NA,2015-03-26 00:26:14,FALSE,NA,"580888452675178496",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","austinenergy",2,FALSE,FALSE,NA,NA
"32","@ets_conference @UtilitySolar - Larry Weis, CEO of Austin Energy, briefs ETS15 crowd on AE solar initiatives. http://t.co/2wYPyjJDej",FALSE,0,"ets_conference",2015-03-26 00:12:30,FALSE,NA,"580884998082850816","2181263006","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","postfossilcom",1,FALSE,FALSE,NA,NA
"33","@ets_conference - ONCOR head: ""Utilities have to be adaptable and flexible; like teaching an elephant to tap dance."" http://t.co/C1N99jtCqu",FALSE,0,"ets_conference",2015-03-26 00:12:29,FALSE,NA,"580884995033550848","2181263006","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","postfossilcom",0,FALSE,FALSE,NA,NA
"34","RT @postfossilcom: @ets_conference #ETS15 - ETS highlights local Mobile Loaves and Fishes homeless project Community First! http://t.co/AHd…",FALSE,0,NA,2015-03-25 23:52:58,FALSE,NA,"580880080655626240",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","austinenergy",2,TRUE,FALSE,NA,NA
